Field A	Field B	Common genes	Min Overlap	Max Overlap
PromoterFields:A	CoexFields:G	62	0.04081632653061224	1.0
PromoterFields:B	CoexFields:G	116	0.07636603028308098	0.9747899159663865
PromoterFields:C	CoexFields:F	120	0.12345679012345678	1.0
PromoterFields:D	CoexFields:F	160	0.1646090534979424	1.0
PromoterFields:F	CoexFields:G	192	0.12639894667544438	0.8888888888888888
PromoterFields:G	CoexFields:F	218	0.2242798353909465	0.9646017699115044
MotifFields:B	CoexFields:G	82	0.053982883475971036	0.8541666666666666
