	H3K4	H3K36	H3NTerm	H4NTerm	H2A	H2B	H3	H4	H2AZ
A	0.06084369920967741	0.020997096129032288	0.0896614555483871	0.08594312556451611	0.0998937981612903	0.07225481399999999	0.0643198205483871	0.07309725137096776	0.19363392258064518
B	0.019759294521008417	-0.16505924572268904	-0.007204800840336143	0.101704590092437	0.1007264161764705	0.09396781566386556	0.03999077925210085	0.04112684840336134	0.28823851760504215
C	0.12513423815	-0.09867614148333327	0.03315214165833333	0.103026898825	0.050408803258333336	-0.024569341341666693	-0.018359413333333328	0.000830184091666665	0.2676021371166667
D	0.08273935926249999	-0.018349156112500004	0.12572739511875003	0.11147199205624995	0.007483129656249995	0.04264936143124999	0.01851194084375	0.030675908237500004	0.22231947415624997
E	0.07600793848554914	0.0035332842369942036	0.0913662421040462	0.07253047898265891	0.02703221366473989	-0.012067954485549134	-0.021522696080924875	0.0034816151560693584	0.16521944637572264
F	0.06019323863425928	-0.09175068183333329	0.042452496097222216	0.08787490817592598	0.00027019591666666384	0.07318963987962956	-0.015784644800925927	-0.0049940134953703795	0.3461057668333332
G	0.08892622374778758	-0.00835130753097345	0.14110096474336287	0.14910457826991128	0.01702726715044246	-0.05549893893362832	-0.009802610230088495	-0.011662283637168137	0.18574154025221246
