SliceEntropy	CloudEntropy
1.88092	1.95352
1.81712	2.20735
2.1845	1.90863
1.79174	2.01623
0.904381	1.79086
2.19352	2.09224
1.17712	2.11741
2.03693	2.13469
2.2921	2.23662
1.85131	2.1778
1.35419	2.09548
1.71526	2.03174
1.90604	2.03174
2.1819	2.15031
1.8578	1.84154
2.1819	1.74337
2.17732	1.74297
2.00489	1.8907
1.93947	2.23662
2.1778	1.93056
1.82904	2.01623
1.99963	1.95508
2.1045	2.13135
1.40411	2.06268
1.7019	1.93565
1.73469	2.24229
1.95741	2.1845
1.93224	2.03249
2.06268	1.98464
2.1045	2.02347
1.93947	1.87444
2.11341	2.27341
1.57366	1.96151
2.1307	2.01391
2.1778	1.90372
2.14713	2.26282
2.01391	2.16322
2.03693	2.28568
2.13469	2.29869
2.2907	1.8383
2.06545	2.11341
1.9419	2.09947
2.43341	2.35908
1.66053	2.02347
2.42282	1.98464
1.95508	2.1045
1.59956	2.3076
2.25791	1.87485
1.95508	2.35908
2.06631	1.79034
2.09791	2.02132
1.8107	1.9378
1.97869	2.01565
2.22771	1.70953
1.87126	1.93056
2.11341	2.09224
1.60274	1.79249
2.1845	1.8881
1.86682	2.01883
1.88411	1.97469
1.79249	2.02347
2.14771	2.08721
1.85924	1.9943
1.95741	2.17565
2.30372	1.92229
1.55352	2.27908
1.71034	1.69732
1.88307	1.73469
1.75662	1.90268
2.08229	2.15031
1.58268	1.95741
1.95508	2.1019
2.01623	2.17224
1.82904	1.74112
2.17732	1.93391
1.71526	1.89151
1.49869	2.23112
1.82053	2.3183
1.74505	2.04011
1.8107	2.14297
1.85524	2.25947
1.5143	2.03693
2.26347	2.01623
2.13469	2.06268
1.77924	1.66631
1.89151	2.03174
1.70953	1.58297
2.14713	2.36307
1.54959	2.4219
2.26347	1.97469
2.2605	2.13135
1.98372	2.08171
2.42282	2.15031
1.57366	2.12568
1.92229	2.2921
2.06268	2.25623
1.9983	1.95693
2.14771	1.74112
2.23327	1.9983
1.98696	2.17224
2.06928	2.08721
1.55352	1.95249
2.1819	2.22771
1.90604	1.9943
2.07171	2.05469
1.54959	2.14268
1.74297	2.12643
2.09791	1.90372
2.07031	2.03174
1.62115	1.55174
1.57545	1.75662
2.06268	2.32489
1.90268	1.96307
1.76171	1.96151
1.9983	2.12092
1.84229	2.19693
1.82904	2.19508
2.03249	2.19741
1.87444	2.01623
2.06713	2.27908
1.8107	2.40154
2.05469	1.77288
1.79034	1.93565
1.81701	1.62115
1.95693	1.8907
2.2921	1.84171
2.04011	2.11341
2.1778	1.76386
1.81712	1.86682
1.79126	2.00274
1.85357	2.09224
1.90268	2.04151
2.03249	1.90604
1.37056	2.25732
2.01623	2.12903
2.1778	2.20151
2.06204	1.96151
1.99662	1.95693
1.46918	2.07171
1.56943	2.17947
1.86682	1.97469
1.9419	2.01623
2.16229	1.72735
1.9943	1.90604
1.91327	2.19908
2.13366	2.28903
1.48914	2.33791
1.91327	1.77288
1.93947	2.01883
1.86682	1.73469
1.69288	1.85391
1.71034	1.92229
2.2921	2.09548
1.88411	1.9378
2.25883	2.28735
1.71885	1.90604
1.8107	2.17224
1.97701	1.80092
1.98464	1.74297
2.13366	1.9143
1.93056	2.1778
1.57845	2.17732
2.37701	2.20643
1.99112	2.13469
1.79126	2.22863
1.60274	2.16322
2.26347	1.89151
2.14604	2.03249
1.77716	1.81712
2.22771	2.01883
2.2343	1.93056
1.75662	2.06204
2.07171	1.98464
1.82863	2.17288
1.40399	2.1019
1.8881	1.80092
1.77357	1.79034
1.88092	2.35174
2.45869	2.08489
1.99963	2.3183
1.82863	1.74337
1.84229	1.95508
2.12643	2.09947
2.14771	2.02347
1.89151	1.71526
1.76171	1.74112
2.17288	2.09131
1.57545	2.20643
1.92154	2.01623
1.96151	1.9983
2.03249	1.93565
1.90863	2.14268
2.21151	2.19741
1.84489	1.90268
1.93224	2.1045
1.9943	2.51249
2.42282	2.19741
1.71885	1.87126
1.8881	1.98464
1.82545	1.87126
2.22696	1.93565
2.01623	1.96151
1.73135	1.93565
1.73469	2.30863
2.1845	1.84171
1.93056	2.28643
1.73469	1.99112
1.42928	2.01623
2.01623	2.09224
2.24322	2.03249
2.25288	1.9378
2.08489	1.98464
1.40411	2.03508
1.90268	2.19908
1.73469	1.87444
1.57545	2.2921
1.82863	2.17947
1.91327	2.16322
2.03249	1.92229
1.93924	1.82904
2.01883	2.27908
1.87126	1.70953
1.70953	1.85524
1.51615	1.98268
1.74297	2.12411
1.8881	1.88092
2.40721	1.8578
1.95693	2.17947
2.01623	2.41883
1.51956	1.98464
2.21869	2.25791
1.69732	1.66053
2.09947	2.16229
1.77716	2.0783
1.90372	2.00274
1.77357	1.93224
2.34347	1.90053
1.74297	2.19741
1.71526	2.24322
2.15031	1.7583
1.71885	2.25791
1.98464	2.19741
1.84171	1.86682
2.11341	1.86682
2.25623	2.15031
1.9378	2.01623
1.42696	2.06904
2.08721	2.39263
1.9943	1.75662
2.09224	1.82545
2.11341	1.74505
1.40411	2.08721
1.95741	1.6219
2.03249	2.06204
2.5045	2.04011
2.08721	2.05469
1.60274	1.98372
1.73469	1.87126
