Gene	Field
YMR271C	D
YMR207C	D
YPL217C	D
YMR216C	D
YMR210W	D
YPL247C	D
YMR213W	D
YMR231W	D
YPL202C	D
YMR232W	D
YMR196W	D
YMR192W	D
YPL228W	D
YPL206C	D
YPL234C	D
YPL211W	D
YMR238W	D
YPL239W	D
YMR206W	D
YMR217W	D
YPL245W	D
YMR202W	D
YMR188C	D
YPL254W	D
YPL119C	D
YMR262W	D
YMR220W	D
YPL204W	D
YMR254C	D
YMR221C	D
YMR239C	D
YPL251W	D
YMR268C	D
YPL117C	D
YPL242C	D
YPL227C	D
YPL268W	D
YMR194W	D
YMR214W	D
YMR204C	D
YMR215W	D
YMR250W	D
YMR191W	D
YMR218C	D
YPL256C	D
YMR256C	D
YPL241C	D
YMR212C	D
YPL212C	D
YPL215W	D
YPL233W	D
YMR219W	D
YMR211W	D
YPL249C	D
YPL236C	D
YMR222C	D
YMR198W	D
YMR201C	D
YMR251W	D
YMR190C	D
YMR209C	D
YMR228W	D
YDR088C	E
YMR078C	E
YDR077W	E
YPR174C	E
YDL113C	E
YMR097C	E
YDL068W	E
YPR195C	E
YDR073W	E
YMR092C	E
YDL110C	E
YPR164W	E
YDL069C	E
YPR169W	E
YDR110W	E
YDR134C	E
YDR097C	E
YDR123C	E
YPR188C	E
YDR083W	E
YDR116C	E
YPR189W	E
YMR095C	E
YDR128W	E
YDR147W	E
YPR165W	E
YDL072C	E
YDR142C	E
YPR179C	E
YPR193C	E
YDR122W	E
YDR148C	E
YDR109C	E
YDR069C	E
YDL078C	E
YMR076C	E
YPR181C	E
YDR115W	E
YMR090W	E
YMR081C	E
YDR081C	E
YDR108W	E
YMR080C	E
YDR152W	E
YDR102C	E
YMR098C	E
YDL071C	E
YDR090C	E
YPR163C	E
YDL116W	E
YDR127W	E
YPR194C	E
YDL112W	E
YMR082C	E
YDR104C	E
YMR087W	E
YMR084W	E
YMR093W	E
YDR111C	E
YMR091C	E
YDR082W	E
YPR187W	E
YDR074W	E
YDR131C	E
YPR180W	E
YDL074C	E
YDR141C	E
YPR192W	E
YPR185W	E
YPR176C	E
YDR092W	E
YDR100W	E
YMR094W	E
YPR170C	E
YMR077C	E
YDR130C	E
YPR186C	E
YDR095C	E
YDR089W	E
YDR099W	E
YPR168W	E
YMR086W	E
YDR084C	E
YDL066W	E
YPR184W	E
YDR137W	E
YDR093W	E
YDR125C	E
YDR078C	E
YDR145W	E
YDR132C	E
YDL115C	E
YPR160W	E
YDL065C	E
YPR175W	E
YDR107C	E
YDL075W	E
YDR140W	E
YPR177C	E
YPR161C	E
YDL111C	E
YDR136C	E
YDR103W	E
YDL070W	E
YDR079W	E
YDR135C	E
YDR117C	E
YPR157W	E
YDL114W	E
YDR143C	E
YPR183W	E
YDR114C	E
YDR101C	E
YDL081C	E
YDR151C	E
YDR096W	E
YPR159W	E
YDR144C	E
YMR083W	E
YDR106W	E
YDR098C	E
YDR126W	E
YDR138W	E
YMR096W	E
YPR178W	E
YPR190C	E
YDR119W	E
