Gene	Field
YAR018C	C
YML006C	C
YCL022C	C
YPR002W	C
YMR019W	C
YFL025C	C
YIR025W	C
YPL008W	C
YPR023C	C
YFL041W	C
YKR012C	C
YAL017W	C
YHR030C	C
YBR003W	C
YFL004W	C
YDL008W	C
YIL009W	C
YLL046C	C
YBL006C	C
YMR001C	C
YNR009W	C
YCL025C	C
YPR016C	C
YKR011C	C
YBL017C	C
YDR009W	C
YGL007W	C
YDR018C	C
YFR016C	C
YDL010W	C
YNR001C	C
YHR011W	C
YIR034C	C
YLL041C	C
YDL009C	C
YFR011C	C
YMR003W	C
YCL024W	C
YDL003W	C
YKR006C	C
YHL019C	C
YHR025W	C
YFL017C	C
YFL007W	C
YNL001W	C
YFR012W	C
YML012W	C
YOL007C	C
YFR009W	C
YLL035W	C
YFR014C	C
YFL016C	C
YGL001C	C
YFL024C	C
YPL009C	C
YGR009C	C
YGL012W	C
YDL001W	C
YFL013C	C
YDR014W	C
YDL017W	C
YKL004W	C
YMR010W	C
YHR004C	C
YIR039C	C
YDR016C	C
YPL003W	C
YPR014C	C
YHR022C	C
YFL050C	C
YKR018C	C
YIR026C	C
YML001W	C
YDL015C	C
YAL013W	C
YDR020C	C
YHR015W	C
YCR005C	C
YFR019W	C
YDL006W	C
YDR008C	C
YHR002W	C
YDL011C	C
YPR004C	C
YPL002C	C
YCR003W	C
YBR005W	C
YKR007W	C
YIL018W	C
YFL030W	C
YIR032C	C
YHR021C	C
YGL005C	C
YIR035C	C
YLL043W	C
YPR001W	C
YKR020W	C
YHL013C	C
YFR006W	C
YGR005C	C
YLL033W	C
YNL003C	C
YHL044W	C
YPL029W	C
YIL008W	C
YDR015C	C
YNR013C	C
YOL009C	C
YAL014C	C
YHL018W	C
YHL034C	C
YHR009C	C
YFL044C	C
YOL003C	C
YFL034W	C
YMR018W	C
YKL008C	C
YEL010W	C
YPL036W	C
YHR026W	C
ICR1	C
YPR011C	C
YOL011W	C
YKL005C	C
YHR023W	C
YIR028W	C
YBL001C	C
YFR008W	C
snR73	C
YCR023C	C
YBL003C	C
YMR015C	C
YKL009W	C
YKR024C	C
YFL001W	C
YBR007C	C
YNL009W	C
YGL004C	C
YDR004W	C
YIR033W	C
YFL037W	C
YHR006W	C
YPL012W	C
YML010W	C
YPL013C	C
YFL032W	C
YFR021W	C
YHR027C	C
YDL019C	C
YPL005W	C
YML030W	C
snR18	C
YML023C	C
YIL019W	C
YDL020C	C
snR78	C
YKR005C	C
YFL003C	C
YPL025C	C
YDL012C	C
YHL002W	C
YPL020C	C
YFL028C	C
YER005W	C
YNL008C	C
YHR019C	C
YIR015W	C
YML022W	C
YGR008C	C
YKR015C	C
YFL049W	C
YPL016W	C
YAL023C	C
YML026C	C
YBL005W	C
YML011C	C
YML025C	C
YFL012W	C
YNL007C	C
YDL025C	C
YBL015W	C
YAR015W	C
YOL004W	C
YMR020W	C
YAL003W	C
YDR001C	C
YHL010C	C
YFL040W	C
YFL039C	C
YHR012W	C
YGR001C	C
YCR004C	C
YER009W	C
YML029W	C
YIL002C	C
YMR011W	C
YBL016W	C
YPL010W	C
YIR036C	C
YPL015C	C
snR14	C
YKL013C	C
YLL044W	C
YDL016C	C
YOL006C	C
YPL031C	C
YHL012W	C
YIL015W	C
YBL010C	C
YEL001C	C
YBL002W	C
YLL039C	C
YFR002W	C
YDL013W	C
YHL045W	C
YAL020C	C
YGL010W	C
YML028W	C
YDL005C	C
YOL008W	C
YKL002W	C
YDL002C	C
YML008C	C
YML016C	C
YHL022C	C
YML002W	C
YAL016W	C
YDL026W	C
YPL007C	C
YHL011C	C
YDL018C	C
YFR020W	C
YAL025C	C
YBL011W	C
YCR007C	C
YPL032C	C
YFL021W	C
YPR022C	C
YOR001W	C
YFL022C	C
YHR013C	C
YAL007C	C
YDL022W	C
YIR018W	C
YGR004W	C
YNL006W	C
YMR014W	C
YPL001W	C
YIR013C	C
YIR006C	C
YDR003W	C
YPL021W	C
YER004W	C
YFL047W	C
YIR019C	C
YKR002W	C
YDR019C	C
YDL004W	C
YAL005C	C
YGL002W	C
YLL034C	C
YJL001W	C
YKL010C	C
YLL036C	C
YBL020W	C
YAL018C	C
YHL017W	C
YDL021W	C
YIR010W	C
YMR007W	C
YHR016C	C
YMR021C	C
YFL019C	C
YKL014C	C
snR76	C
YEL011W	C
YCL027W	C
YCL029C	C
YAL011W	C
YFL033C	C
YIR027C	C
YFR015C	C
YHR028C	C
YDR010C	C
YIL017C	C
YBR008C	C
YPL011C	C
PWR1	C
YHL021C	C
YPR026W	C
YCR022C	C
YLL042C	C
YER010C	C
YHL014C	C
YIR002C	C
YIR023W	C
YFR022W	C
YEL009C	C
YIR011C	C
YHL033C	C
YIR029W	C
YIL020C	C
YHR008C	C
YHL043W	C
YNR012W	C
YNR010W	C
YEL005C	C
YDR012W	C
YPR010C	C
YAL019W	C
YHR010W	C
YOL012C	C
YPR006C	C
YCL030C	C
YPL024W	C
YHL029C	C
YGL003C	C
YKR009C	C
YER001W	C
YHR020W	C
YER011W	C
YKR008W	C
YDL027C	C
YHR024C	C
RUF21	C
YPL035C	C
YFR004W	C
YPR018W	C
YDR007W	C
YPL017C	C
YIL004C	C
YHL009C	C
YIL005W	C
YBL014C	C
YCL028W	C
YCR020C	C
YHL038C	C
YFL020C	C
YFR010W	C
YIR037W	C
YAL022C	C
YHL041W	C
YPR013C	C
YER002W	C
YML019W	C
YKL001C	C
YML004C	C
YPL018W	C
YFR013W	C
YPL022W	C
YNR004W	C
YGR002C	C
YPR017C	C
YHL026C	C
YMR012W	C
YER007W	C
YPR021C	C
YCR002C	C
YPL023C	C
YFL026W	C
YPL026C	C
YIR003W	C
YIR007W	C
YHR001W	C
YHL036W	C
YER003C	C
YBR009C	C
YNR005C	C
YOR005C	C
YML024W	C
YFR005C	C
YEL015W	C
YGR007W	C
YFL018C	C
YKR014C	C
YAL004W	C
YFL036W	C
YJL003W	C
YML015C	C
YKR019C	C
YML018C	C
YDR006C	C
YIL012W	C
YGL013C	C
YBR001C	C
YPR019W	C
YKL006W	C
YHL024W	C
YMR016C	C
YPR005C	C
YNR006W	C
YHL046C	C
YFL023W	C
YKL007W	C
YOR003W	C
YMR013C	C
YAL024C	C
YGR003W	C
YKR016W	C
YOL010W	C
YIR012W	C
YFL042C	C
YAL009W	C
YBR006W	C
YNR007C	C
YFL052W	C
YEL008W	C
YML007W	C
YIR001C	C
YIR041W	C
YKL011C	C
YHR007C	C
YPL014W	C
YML017W	C
YIL003W	C
YFL027C	C
YBR010W	C
YIR024C	C
YHL032C	C
YNR011C	C
YPL006W	C
YHL040C	C
