Gene	Field
YPR162C	D
YMR080C	D
YDR120C	D
YPR160W	D
YDR102C	D
YDR126W	D
YPR151C	D
YDR071C	D
YDR121W	D
YPR179C	D
YDL076C	D
YDR098C	D
YMR118C	D
YDR124W	D
YDR062W	D
YDR075W	D
YPR163C	D
snR63	D
YMR097C	D
YPR171W	D
YMR121C	D
YDR060W	D
YPR157W	D
YMR079W	D
YPR195C	D
YMR084W	D
YMR114C	D
YPR198W	D
YDR122W	D
YDR123C	D
YMR095C	D
YDR125C	D
YPR153W	D
YPR145C	D
YDL072C	D
YDR112W	D
YMR082C	D
YPR155C	D
YMR111C	D
YDR101C	D
YPR165W	D
YPR142C	D
YPR199C	D
YPR170C	D
YDL077C	D
YDL074C	D
YDR066C	D
YMR077C	D
YPR204C	D
YMR101C	D
YMR100W	D
YDR063W	D
YPR145W	D
YDR119W	D
YPR173C	D
YPR141C	D
YPL054W	E
YCR081C	E
YCR057C	E
YCR079W	E
YCR048W	E
YCR068W	E
YHR156C	E
YHR061C	E
YCR063W	E
YPL061W	E
YPL063W	E
YCR051W	E
YCR093W	E
YPL055C	E
YCR040W	E
YCR107W	E
YHR160C	E
YCR059C	E
YBR026C	E
YBR038W	E
YBR042C	E
YML081W	E
YHR050W	E
YPL065W	E
YBR052C	E
YBR047W	E
snR161	E
YHR057C	E
YHR060W	E
YHR052W	E
YBR050C	E
YCR091W	E
YHR062C	E
YCR094W	E
YCR046C	E
YML079W	E
YCR082W	E
YHR058C	E
YPL060C	E
YCR061W	E
YCR081W	E
YHR075C	E
YPL053C	E
RUF5	E
YPL067C	E
YCR047C	E
YCR092C	E
YHR041C	E
YHR059W	E
YCR096C	E
YHR066W	E
YHR046C	E
YCR075C	E
TLC1	E
YPL062W	E
YHR154W	E
YHR064C	E
YPL057C	E
YML078W	E
YCR042C	E
YCR066W	E
YHR067W	E
YCR108C	E
YHR054W	E
YCR053W	E
YBR041W	E
YHR048W	E
YBR039W	E
YCR102C	E
YCR049C	E
YPL071C	E
YBR048W	E
YBR028C	E
YCR101C	E
YBR029C	E
YCR098C	E
YCR045W	E
YBR031W	E
YBR043C	E
YCR105W	E
YHR159W	E
YBR045C	E
YCR072C	E
YCR104W	E
YCR097W	E
YHR043C	E
YML074C	E
YCR073W	E
YML081C	E
YBR046C	E
YHR157W	E
YHR166C	E
YCR099C	E
YBR037C	E
YBR040W	E
YBR051W	E
YPL058C	E
YCR038W	E
YCR041W	E
YCR076C	E
YHR045W	E
YHR165C	E
YHR076W	E
YML077W	E
YPL056C	E
YHR168W	E
YHR163W	E
YCR044C	E
YBR049C	E
YBR035C	E
YPL073C	E
YBR044C	E
YPL069C	E
YCR075W	E
YCR043C	E
YCR073C	E
YHR063W	E
YHR162W	E
YCR045C	E
YHR165W	E
YHR055C	E
YPL052W	E
YCR090C	E
YCR050C	E
snR71	E
YPL068C	E
YML076C	E
YHR063C	E
YPL070W	E
YHR049C	E
YPL060W	E
YCR071C	E
YCR038C	E
YBR053C	E
YHR051W	E
YBR032W	E
YBR030W	E
YCR054C	E
YHR053C	E
YHR068W	E
YCR065W	E
YCR047W	E
YBR027C	E
YCR069W	E
YHR161C	E
YHR056W	E
YBR054W	E
YHR158C	E
YHR054C	E
YBR034C	E
YHR164C	E
YPL064C	E
YCR106W	E
YHR042W	E
YCR039C	E
YCR095W	E
YCR064C	E
YCR060W	E
YPL059W	E
YCR052W	E
YCR100C	E
YBR033W	E
YPL072W	E
YHR049W	E
YCR095C	E
YPL066W	E
YML080W	E
YCR077C	E
YHR047C	E
YBR036C	E
YHR044C	E
YHR155W	E
YCR067C	E
YHR167W	E
YHR065C	E
YHR069C	E
YCR102W	E
YML075C	E
YHR056C	E
